frame,leader_x,leader_y,f1_x,f1_y,f2_x,f2_y
344,0.83233756,-0.00020051372,0.83228415,-1.5000868,0.8321496,1.4998026
345,0.83588445,-0.00020571641,0.8358219,-1.5000889,0.83569163,1.499803
346,0.83945507,-0.00020682625,0.8393467,-1.5000931,0.83921295,1.4997994
347,0.8429939,-0.0002048482,0.84289205,-1.5001004,0.8427599,1.4997984
348,0.84651697,-0.00020555535,0.84645146,-1.5000997,0.8463352,1.4997979
349,0.85006464,-0.0002060128,0.8499931,-1.5001001,0.8498733,1.4997973
350,0.85364044,-0.00020582645,0.85351723,-1.500101,0.85339713,1.4997934
351,0.85718036,-0.00020571591,0.8570623,-1.5001019,0.85694104,1.4997925
352,0.860704,-0.00020751992,0.8606117,-1.5001006,0.8605283,1.4997919
353,0.86424893,-0.00021193054,0.8641543,-1.5000978,0.86406916,1.499792
354,0.8678195,-0.00021239919,0.8676761,-1.5000972,0.86759293,1.4997892
355,0.87136036,-0.00021468558,0.8712235,-1.5000978,0.8711396,1.4997857
356,0.8748842,-0.00021752347,0.8747603,-1.5000986,0.87470955,1.4997853
