frame,leader_x,leader_y,f1_x,f1_y
362,1.2619205,0.00012067872,1.2619022,-1.5000235
363,1.2654363,0.00012369838,1.2654153,-1.5000215
364,1.2690157,0.00012327135,1.2689993,-1.5000219
365,1.2724789,0.00012457056,1.272462,-1.5000213
366,1.2758764,0.00012434286,1.2758576,-1.5000217
367,1.2793837,0.00012717227,1.2793607,-1.5000196
368,1.2829711,0.00012713353,1.2829455,-1.5000207
369,1.286432,0.00012841614,1.2864069,-1.5000197
370,1.2898295,0.00012839973,1.2898117,-1.5000205
371,1.2933382,0.00013129157,1.29332,-1.5000174
372,1.2969214,0.00013124231,1.2969028,-1.5000178
373,1.3003856,0.0001325847,1.3003718,-1.5000179
374,1.3037688,0.00013321114,1.3037715,-1.5000178
375,1.3072847,0.00013674374,1.3072743,-1.5000153
376,1.310867,0.00013523897,1.3108586,-1.5000161
377,1.3143233,0.0001368295,1.3143209,-1.500015
378,1.3177276,0.00013689615,1.3177118,-1.500015
379,1.3212253,0.00013922423,1.3212248,-1.500013
380,1.3248119,0.0001387341,1.324808,-1.5000141
381,1.3282739,0.00013983739,1.328269,-1.500013
382,1.3316705,0.00013941049,1.3316662,-1.500014
383,1.3351736,0.0001426228,1.3351659,-1.5000117
384,1.3387597,0.00014253482,1.3387523,-1.5000135
385,1.3422229,0.00014338887,1.3422139,-1.5000125
386,1.3456079,0.00014428541,1.3456129,-1.5000128
387,1.3491248,0.00014743797,1.349115,-1.5000104
388,1.352706,0.00014598307,1.3526989,-1.5000108
389,1.3561617,0.00014758238,1.3561606,-1.5000101
390,1.3595678,0.00014716997,1.3595605,-1.500011
391,1.3630666,0.00015035045,1.3630602,-1.5000091
392,1.3666539,0.00015031084,1.3666447,-1.500009
393,1.3701222,0.00015051864,1.3701067,-1.5000083
394,1.3734957,0.0001493579,1.3735061,-1.5000086
395,1.3770237,0.00015494213,1.3770066,-1.5000068
396,1.3805977,0.0001550652,1.380593,-1.5000067
397,1.3840582,0.00015639496,1.3840556,-1.5000057
398,1.3874449,0.00015678378,1.3874537,-1.5000063
399,1.3909578,0.00016015948,1.390954,-1.5000042
400,1.3945414,0.00015957616,1.3945374,-1.500004
401,1.3980004,0.00016101905,1.3979979,-1.5000031
402,1.4014,0.00016119704,1.4014008,-1.5000031
403,1.4049021,0.00016320581,1.4049027,-1.500001
404,1.4084907,0.00016486263,1.4084886,-1.5000018
405,1.4119574,0.00016486645,1.4119525,-1.5000011
406,1.4153414,0.00016595468,1.4153504,-1.5000018
407,1.418857,0.00017025787,1.4188508,-1.4999994
408,1.4224457,0.00017106658,1.4224355,-1.4999998
409,1.4259102,0.00017118308,1.4258978,-1.499999
410,1.4293071,0.00017173527,1.4292983,-1.4999995
411,1.4328113,0.0001751327,1.4327991,-1.4999976
